text,label,fe_id
Tyler Clement,PERSON,26591
Thursday,DATE,26591
17-year-old,DATE,26591
9mm,QUANTITY,26591
Palm Bay,LOC,26591
Taser,GPE,26591
first,ORDINAL,26591
Palm Bay,LOC,26591
about 7:10 a.m.,TIME,26591
Thursday,DATE,26591
SWAT,ORG,26591
Fallon Boulevard,FAC,26591
69-year-old,DATE,26591
Barbara Franklin,PERSON,26591
one,CARDINAL,26591
Franklin,ORG,26591
Holmes Regional Medical Center,ORG,26591
43-year-old,DATE,26591
Robert Joseph Franklin Jr.,PERSON,26591
1654,DATE,26591
Fallon Blvd,WORK_OF_ART,26591
Palm Bay,LOC,26591
Palm Bay,LOC,26591
911,CARDINAL,26591
Robert Franklin's,PERSON,26591
Tyler,PERSON,26591
Tyler,PERSON,26591
Holmes Regional Medical Center,ORG,26591
Melbourne,GPE,26591
Staci Franklin,PERSON,26591
Robert Franklin's,PERSON,26591
Tyler,PERSON,26591
U.S.,GPE,26591
New Jersey,GPE,26591
Tyler,PERSON,26591
Tyler,ORG,26591
Palm Bay,LOC,26591
Robert Franklin,PERSON,26591
South Carolina,GPE,26591
Palm Bay,LOC,26591
Tyler,PERSON,26591
Thursday,DATE,26591
afternoon,TIME,26591
Hours,WORK_OF_ART,26591
Tyler,PERSON,26591
Tyler,PERSON,26591
321,CARDINAL,26591
Twitter @JDGallop,PERSON,26591
