subject,predicate,object,fe_id
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
Sean Bell,date of death,"November 25, 2006",5684
