head,type,tail,subject,predicate,object,fe_id
Maryland,twinned administrative body,Washington D.C.,,,,8705
,,,Washington D.C.,twinned administrative body,Maryland,8705
Alabama,shares border with,Washington D.C.,,,,8705
Arizona,shares border with,Washington D.C.,,,,8705
California,shares border with,Washington D.C.,,,,8705
Illinois,shares border with,Washington D.C.,,,,8705
Missouri,shares border with,Washington D.C.,,,,8705
Nevada,shares border with,Washington D.C.,,,,8705
New Jersey,shares border with,Washington D.C.,,,,8705
New York,shares border with,Washington D.C.,,,,8705
Alabama,shares border with,Washington D.C.,,,,8705
Arizona,shares border with,Washington D.C.,,,,8705
California,shares border with,Washington D.C.,,,,8705
Illinois,shares border with,Washington D.C.,,,,8705
Missouri,shares border with,Washington D.C.,,,,8705
Nevada,shares border with,Washington D.C.,,,,8705
New Jersey,shares border with,Washington D.C.,,,,8705
New Mexico,shares border with,Washington D.C.,,,,8705
